title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;Century;medium;simplified mediums;accessionNumber;galleryInformation
Rooster;"Saint James""s Factory (British, ca. 1748/49–1760)";Saint James's Factory;British, London;United Kingdom;"Saint James""s Factory (British, ca. 1748/49–1760) Date: ca. 1755 Accession Number: 64.101.544a, b";/art/collection/search/203407?&ao=on&ft=Rooster&offset=0&rpp=100&pos=1;https://images.metmuseum.org/CRDImages/es/mobile-large/DP-247-023.jpg;es/web-additional/DP-247-023.jpg;es/web-large/DP-247-023.jpg;ca. 1755;18th century;Soft-paste porcelain;Porcelain;64.101.544a, b;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzczNDQ0LDQwLjc3OTkzODA4QGxtQDk3MTI1ODQ2NDU4Mw==' target='_blank'>Gallery 512</a>
Rooster;Attributed to Wilhelm Schimmel (probably 1817–1890);Wilhelm Schimmel;American;USA;Attributed to Wilhelm Schimmel (probably 1817–1890) Date: 1865–90 Accession Number: 34.100.173;/art/collection/search/12537?&ao=on&ft=Rooster&offset=0&rpp=100&pos=2;https://images.metmuseum.org/CRDImages/ad/mobile-large/97323.jpg;ad/web-additional/97323.jpg;ad/web-large/97323.jpg;1865–90;19th century;White pine;Wood;34.100.173;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM0ODAzLDQwLjc4MDYxMzA4QGxtQDY4MzIyMTcyOTI0Mw==' target='_blank'>Gallery 774</a>
Necktie;Rooster;Rooster;American;USA;RoosterDate: ca. 1970 Accession Number: 2009.300.8268;/art/collection/search/175861?&ao=on&ft=Rooster&offset=0&rpp=100&pos=3;https://images.metmuseum.org/CRDImages/ci/mobile-large/87.66.9_CP1.jpg;ci/web-additional/87.66.9_CP1.jpg;ci/web-large/87.66.9_CP1.jpg;ca. 1970;20th century;Wool;Wool;20.093.008.268;Not on view
Rooster;Edward Ruscha (American, born Omaha, Nebraska, 1937);Edward Ruscha;;;Edward Ruscha (American, born Omaha, Nebraska, 1937) Date: 1988 Accession Number: 2011.565;/art/collection/search/399918?&ao=on&ft=Rooster&offset=0&rpp=100&pos=4;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP-24394-001.jpg;dp/web-additional/DP-24394-001.jpg;dp/web-large/DP-24394-001.jpg;1988;20th century;Aquatint and etching;Etching;2.011.565;Not on view
Rooster;Elie Nadelman (American (born Poland), Warsaw 1882–1946 Riverdale, New York);Elie Nadelman;;;Elie Nadelman (American (born Poland), Warsaw 1882–1946 Riverdale, New York) Date: ca. 1930–35 Accession Number: 65.12.5;/art/collection/search/489377?&ao=on&ft=Rooster&offset=0&rpp=100&pos=5;https://images.metmuseum.org/CRDImages/ma/mobile-large/sf65.12.5.jpg;ma/web-additional/sf65.12.5.jpg;ma/web-large/sf65.12.5.jpg;ca. 1930–35;20th century;Graphite and chalk on paper;Paper;65.12.5;Not on view
Necktie;Rooster;Rooster;American;USA;RoosterDate: 1958–60 Accession Number: 2009.300.1374;/art/collection/search/156082?&ao=on&ft=Rooster&offset=0&rpp=100&pos=6;https://images.metmuseum.org/CRDImages/ci/mobile-large/88.146.41_view1_CP4.jpg;ci/web-additional/88.146.41_view1_CP4.jpg;ci/web-large/88.146.41_view1_CP4.jpg;1958–60;20th century;cotton;Cotton;20.093.001.374;Not on view
Rooster;;;Edo peoples;Japan;Date: 18th century (?) Accession Number: 1991.17.54;/art/collection/search/316525?&ao=on&ft=Rooster&offset=0&rpp=100&pos=7;https://images.metmuseum.org/CRDImages/ao/mobile-large/DT6571.jpg;ao/web-additional/DT6571.jpg;ao/web-large/DT6571.jpg;18th century (?);18th century;Brass;Brass;1991.17.54;Not on view
Rooster;Accession Number: SL.1.2017.24.6;;China;China;Accession Number: SL.1.2017.24.6;/art/collection/search/640950?&ao=on&ft=Rooster&offset=0&rpp=100&pos=8;https://images.metmuseum.org/CRDImages/as/mobile-large/LC-SL_1_2017_24_6_001.jpg;as/web-additional/LC-SL_1_2017_24_6_001.jpg;as/web-large/LC-SL_1_2017_24_6_001.jpg;;;Earthenware with pigment;Earthenware;SL.1.2017.24.6;Not on view
Rooster figurine;;;Cypriot;Cyprus;Date: early 5th century BCE Accession Number: 74.57.16;/art/collection/search/244797?&ao=on&ft=Rooster&offset=0&rpp=100&pos=9;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP101869.jpg;gr/web-additional/DP101869.jpg;gr/web-large/DP101869.jpg;early 5th century BCE;5th century BCE;Terracotta;Terracotta;74.57.16;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Bronze statuette of a rooster;;;Cypriot;Cyprus;Date: 6th century BCE Accession Number: 74.51.5535;/art/collection/search/244414?&ao=on&ft=Rooster&offset=0&rpp=100&pos=10;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP20065.jpg;gr/web-additional/DP20065.jpg;gr/web-large/DP20065.jpg;6th century BCE;6th century BCE;Bronze;Bronze;74.51.5535;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Terracotta vase in the form of a rooster;;;East Greek, Rhodian;Greece;Date: late 6th century BCE Accession Number: 41.162.199;/art/collection/search/254370?&ao=on&ft=Rooster&offset=0&rpp=100&pos=11;https://images.metmuseum.org/CRDImages/gr/mobile-large/DP114705.jpg;gr/web-additional/DP114705.jpg;gr/web-large/DP114705.jpg;late 6th century BCE;6th century BCE;Terracotta;Terracotta;41.162.199;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM1ODQ3LDQwLjc3ODExNDFAbG1AMjkzODk2MjIxODA5' target='_blank'>Gallery 171</a>
Terracotta statuette of a boy and a rooster;;;Greek, Asia Minor, Pontus;Greece;Date: 2nd century BCE Accession Number: 06.1087;/art/collection/search/247505?&ao=on&ft=Rooster&offset=0&rpp=100&pos=12;https://images.metmuseum.org/CRDImages/gr/mobile-large/sf061087.jpg;gr/web-additional/sf061087.jpg;gr/web-large/sf061087.jpg;2nd century BCE;2nd century BCE;Terracotta;Terracotta;61.087;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzI2NjY1LDQwLjc3ODIzOTgyQGxtQDYzNzExNjY0NTQ0OQ==' target='_blank'>Gallery 164</a>
Figure of a Rooster;;;American;USA;Date: 1830–70 Accession Number: 47.90.126;/art/collection/search/6890?&ao=on&ft=Rooster&offset=0&rpp=100&pos=13;https://images.metmuseum.org/CRDImages/ad/mobile-large/140873.jpg;ad/web-additional/140873.jpg;ad/web-large/140873.jpg;1830–70;19th century;Parian porcelain;Porcelain;47.90.126;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzM0ODAzLDQwLjc4MDYxMzA4QGxtQDY4MzIyMTcyOTI0Mw==' target='_blank'>Gallery 774</a>
Armet with Mask Visor in the Form of a Rooster;;;German, probably Augsburg;Germany;Date: ca. 1530 Accession Number: 29.150.3a;/art/collection/search/23087?&ao=on&ft=Rooster&offset=0&rpp=100&pos=14;https://images.metmuseum.org/CRDImages/aa/mobile-large/DP-12880-028.jpg;aa/web-additional/DP-12880-028.jpg;aa/web-large/DP-12880-028.jpg;ca. 1530;16th century;Steel;Steel;29.150.3a;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzE3Mjg0LDQwLjc4MDA5MTQ3QGxtQDE0NzgzMDYzMDk1' target='_blank'>Gallery 374</a>
